id_dieta,nome_dieta,descricao,objetivo,restricoes,alimentos_permitidos,alimentos_proibidos,calorias_diarias,macro_proteinas_g,macro_carboidratos_g,macro_gorduras_g,descricao_macro,duracao_dias,nivel_dificuldade
1,Keto,Dieta rica em gorduras e baixa em carboidratos,Perda de peso,Sem grãos e açúcares,Carne, ovos, vegetais verdes,Pães, massas, açúcares,1800,120,20,150,Alta gordura, baixa carb, moderada proteína,30,Difícil
2,Mediterrânea,Dieta baseada em alimentos tradicionais do Mediterrâneo,Melhora da saúde cardiovascular,Sem alimentos processados,Frutas, legumes, azeite, peixes,Carne vermelha em excesso,2500,90,300,70,Equilíbrio entre macros, rica em fibras,90,Fácil
3,Vegetariana,Dieta sem carnes, com foco em vegetais e derivados,Melhora da saúde geral,Sem carnes,Ricos em vegetais, grãos, leguminosas,Carnes e peixes,2200,80,250,60,Alta ingestão de carboidratos e fibras, moderada proteína,60,Moderado
4,Low Carb,Dieta com redução significativa de carboidratos,Perda de peso rápida,Baixo consumo de carboidratos,Carnes, ovos, queijos,Pães, arroz, doces,2000,130,50,120,Baixo carboidrato, alta proteína e gordura,45,Moderado
5,Paleolítica,Dieta baseada em alimentos do período Paleolítico,Melhora da digestão e saúde,Sem alimentos industrializados,Frutas, carnes magras, nozes, raízes,Grãos, laticínios, alimentos processados,2300,110,150,80,Equilíbrio entre macros, sem alimentos processados,90,Difícil
6,Ullam Maiores,Quia atque molestiae accusamus doloribus quod nemo recusandae.,Nisi mollitia vitae doloribus quo.,Sem laticínios,Dolorem placeat officiis error voluptatum non.,Incidunt sapiente veritatis libero vitae rem veniam a earum eaque.,2286,89,118,35,"Equilíbrio entre macros, sem alimentos processados",120,Moderado
7,Hic Qui,Velit unde optio tempore eligendi pariatur adipisci autem neque modi quos rem.,Odio eius dicta accusantium.,Sem grãos e açúcares,Atque praesentium odio at quos commodi minus.,Pariatur voluptatem voluptates possimus molestias quasi aperiam.,2264,72,369,138,"Alta ingestão de carboidratos e fibras, moderada proteína",45,Fácil
8,Minus Sunt,Optio laborum quisquam at sequi veritatis perspiciatis illo porro deleniti molestias aperiam consequuntur.,Quas occaecati ipsam facilis qui.,Sem alimentos industrializados,Sunt deserunt esse nulla laudantium delectus illum explicabo voluptatibus quidem sequi.,Veniam ad architecto id voluptas ratione aut eaque modi dolores.,1647,100,143,142,Foco em carboidratos complexos,120,Moderado
9,Quia Nulla,Laudantium maiores consequuntur esse rem reiciendis quisquam natus cupiditate omnis ex necessitatibus.,Debitis eum laudantium voluptatem perspiciatis eveniet.,Sem laticínios,Odio quaerat soluta omnis eum iusto.,Nisi culpa earum aspernatur fuga recusandae corrupti earum autem.,2241,94,338,49,Foco em carboidratos complexos,30,Moderado
10,Quae Rem,Expedita praesentium quae aperiam debitis possimus aliquam quam assumenda tempora aliquid deleniti.,Doloribus aliquam nobis alias autem adipisci.,Sem laticínios,Quos occaecati dolore at ipsam.,Numquam tempora iure id eos at doloribus.,2078,147,299,124,"Baixo carboidrato, alta proteína e gordura",45,Difícil
11,Autem Ab,Odit provident quisquam velit maxime magni molestiae qui rem sequi quas quibusdam eos.,Sapiente dolor inventore.,Baixo consumo de carboidratos,Cumque placeat inventore sed hic vero.,Consequatur odio itaque voluptatibus animi blanditiis et in et temporibus.,2463,100,305,145,Foco em carboidratos complexos,180,Moderado
12,Debitis Quod,Dolores aut recusandae voluptatem earum quidem consectetur aspernatur doloremque occaecati eveniet.,Voluptate ab fugiat.,Sem alimentos processados,Voluptates neque neque harum voluptatem magnam cupiditate tenetur.,Molestias neque ipsum eius culpa saepe aliquam doloremque expedita.,1985,90,53,125,"Equilíbrio entre macros, sem alimentos processados",180,Moderado
13,Quaerat Id,Expedita nulla natus velit optio error ullam cumque.,Dignissimos veritatis quis exercitationem.,Sem laticínios,Recusandae illum corporis corporis incidunt beatae aperiam aspernatur sapiente ad.,Voluptate odit maiores optio velit.,2657,102,357,89,Foco em carboidratos complexos,180,Difícil
14,Blanditiis Dolor,Ab cupiditate id culpa veniam esse odio numquam illo.,Aspernatur id perspiciatis.,Sem grãos e açúcares,Deserunt quidem fugiat earum architecto dolorem labore reprehenderit veritatis veniam.,Ipsa tempore harum ipsum cumque sunt asperiores officia illo mollitia.,1825,172,86,129,Foco em carboidratos complexos,90,Difícil
15,Illo Hic,Repudiandae culpa qui praesentium amet mollitia eius dignissimos laboriosam culpa veniam.,Harum facilis a voluptatum.,Sem alimentos industrializados,Esse cumque beatae fuga iste.,Et omnis hic nisi necessitatibus.,1972,140,90,130,"Alta gordura, baixa carb, moderada proteína",60,Difícil
16,Dolorum Amet,Esse illo culpa facilis beatae quo ipsum vitae natus.,Vitae reiciendis mollitia unde libero provident.,Baixo consumo de carboidratos,Ea consequatur reprehenderit autem perferendis quos alias a.,Ratione fugiat modi rerum saepe.,2193,145,51,151,"Alta ingestão de carboidratos e fibras, moderada proteína",45,Fácil
17,Repellendus Consectetur,Modi assumenda quam ullam consectetur similique quae.,Praesentium blanditiis maxime exercitationem totam.,Sem carnes,Ipsam consectetur nobis reprehenderit ipsum praesentium id.,Voluptatibus vitae ipsum harum occaecati.,2645,161,172,134,Rica em proteínas e vegetais,180,Moderado
18,Ut Vel,Tenetur quisquam placeat natus ipsam cum quaerat et.,Amet aut cupiditate voluptatibus reiciendis.,Baixo consumo de carboidratos,Laborum aliquid doloribus dolorum consequatur molestias vel tempora.,Eligendi necessitatibus iure accusamus distinctio aliquid enim.,2874,124,331,78,"Equilíbrio entre macros, sem alimentos processados",45,Fácil
19,Consequuntur Numquam,Iusto illo modi corrupti quidem porro ad.,Nostrum incidunt aliquid repellat.,Baixo consumo de carboidratos,Fugiat amet ipsa sapiente facilis optio vitae maiores.,Deleniti error dolorem aut vitae illo nobis blanditiis doloribus laudantium.,1791,183,311,36,Foco em carboidratos complexos,30,Difícil
20,Non Quia,Adipisci eius dicta hic nesciunt laborum eos.,Tempore ea maiores.,Sem alimentos industrializados,Earum aperiam deserunt molestias nobis deleniti.,Explicabo ab molestias fuga voluptatibus.,1962,125,396,41,"Alta ingestão de carboidratos e fibras, moderada proteína",180,Moderado
21,Tenetur Unde,Iste odio quis qui in hic officia.,Cum at quam maiores.,Sem laticínios,Nemo officiis asperiores officia beatae quisquam.,At officiis voluptates dolores earum nulla omnis exercitationem accusantium enim.,1753,182,54,52,"Alta gordura, baixa carb, moderada proteína",60,Fácil
22,Cumque Neque,Praesentium perspiciatis voluptatibus est ab a corrupti ex nostrum.,Temporibus excepturi debitis eum.,Sem glúten,Necessitatibus deleniti totam libero iure explicabo ratione inventore debitis assumenda.,Debitis a corrupti perferendis labore voluptatem dolorem.,1712,188,66,35,Rica em proteínas e vegetais,90,Fácil
23,Modi Error,Vel nulla molestiae magnam dolorem neque sed id nihil.,Quasi rem labore vero esse hic.,Sem glúten,Hic aut necessitatibus rerum pariatur assumenda quo sequi.,A aspernatur pariatur eveniet modi error illum facilis tempora ex.,2239,152,338,133,Foco em carboidratos complexos,30,Moderado
