id,data_coleta,localizacao,tipo_ambiente,temperatura,umidade,ph_agua,nivel_poluição,tipo_poluento,descricao_vegetacao,fauna_observada,solos_caracteristica,descricao_impacto,responsavel_coleta,observacoes
1,2025-10-10,"-23.5505, -46.6333",água,22.5,65,6.8,Moderado,Metais pesados,Vegetação ribeirinha densa,Peixes nativos,"Argiloso, boa drenagem",Presença de resíduos industriais,João Silva,Monitorar qualidade mensal
2,2025-10-11,"-15.7942, -47.8822",solo,28.0,45,,Baixo,Pesticidas,Floresta tropical esparsa,Insetos e pequenos mamíferos,"Arenoso, pouco fértil",Uso de agrotóxicos detectado,Maria Souza,Verificar impacto na fauna local
3,2025-07-28,"-22.7074, -40.1301",água,31.0,46,8.4,Alto,Químicos industriais,Eligendi corporis eius libero laborum.,Reprehenderit numquam ad.,"""Rochoso, baixa permeabilidade""",Est culpa eum incidunt.,Cecilia Rodrigues,Alias dolor animi debitis.
4,2025-03-18,"-8.2226, -73.5367",água,22.0,67,7.5,Moderado,Plástico,Voluptate officiis itaque.,Reprehenderit asperiores earum fugiat.,"""Argiloso, boa drenagem""",Laboriosam necessitatibus necessitatibus nihil.,João Pedro Nogueira,Temporibus debitis dolor consequatur doloribus incidunt eaque architecto minus.
5,2025-04-04,"""-32.8241, -53.0794""",ar,19.7,65,,Moderado,Plástico,Sapiente exercitationem excepturi culpa.,Officiis distinctio aspernatur nam nobis.,"""Orgânico, rico em nutrientes""",Vitae natus dolorum repellendus adipisci perferendis.,Thiago Borges,Doloribus pariatur nemo numquam.
6,2025-06-13,"""-20.0378, -42.1717""",solo,21.2,76,,Moderado,Pesticidas,Officia sit labore quia.,Quis reiciendis.,"""Rochoso, baixa permeabilidade""",Accusantium ipsa incidunt unde quod dolore.,Mirella Santos,Impedit facilis quibusdam illo quia debitis.
7,2024-11-11,"""-15.3551, -65.047""",solo,23.3,55,,Baixo,,Rerum veritatis perspiciatis.,Debitis doloribus aliquam fugiat explicabo.,"""Argiloso, boa drenagem""",Dignissimos minus exercitationem fugiat aut.,Ryan Mendonça,Error beatae totam neque.
8,2025-08-20,"""-11.5412, -41.0804""",solo,20.2,57,,Baixo,,Iste doloribus ut eligendi vitae maxime.,Architecto commodi.,"""Arenoso, pouco fértil""",A ratione culpa rem.,Thiago Machado,Similique quis facere magni esse necessitatibus voluptate impedit nihil.
9,2024-11-20,"""3.1916, -54.17""",ar,19.8,45,,Alto,Químicos industriais,Ipsum dolorum laborum dicta ipsa tenetur.,Consequatur non magnam possimus quam.,"""Argiloso, boa drenagem""",Suscipit tenetur reiciendis sunt.,Vitor Gabriel Vargas,Atque ipsum eum odio enim quo doloremque est ullam.
10,2025-02-23,"""-17.2149, -55.3588""",solo,18.9,63,,Moderado,Plástico,Aut ea odit inventore.,Laborum officia necessitatibus.,"""Rochoso, baixa permeabilidade""",Id sed sit voluptate nam officiis itaque qui.,Dr. João Camargo,Repellat impedit accusantium eum.
11,2025-09-08,"""-24.8831, -41.0477""",ar,25.4,47,,Alto,Metais pesados,Soluta quasi voluptatum.,Laudantium aspernatur quod.,"""Arenoso, pouco fértil""",Cum illo fugiat debitis voluptatem.,Sra. Bruna da Paz,Error magni voluptate reiciendis.
12,2025-06-04,"""-3.0818, -63.3253""",água,24.3,69,8.3,Alto,Químicos industriais,Distinctio culpa optio eaque placeat.,Id perferendis ratione culpa.,"""Rochoso, baixa permeabilidade""",Esse nesciunt odit pariatur in modi pariatur eum.,Sr. João Miguel Moura,Labore ipsam soluta saepe reiciendis.
13,2025-06-07,"""-1.843, -45.085""",ar,31.4,53,,Alto,Químicos industriais,Ab fugiat soluta voluptatibus vel adipisci.,Vel atque.,"""Argiloso, boa drenagem""",Repudiandae adipisci sed nobis.,Maya Montenegro,Rem nulla veritatis tenetur placeat modi architecto commodi.
14,2024-10-17,"""-9.312, -66.5305""",ar,27.8,63,,Alto,Pesticidas,Alias unde hic harum.,Perspiciatis officia consequatur officiis praesentium.,"""Argiloso, boa drenagem""",Sit modi quis asperiores.,Murilo Teixeira,Vel expedita corrupti deleniti fugit possimus in sed.
15,2025-07-29,"""-21.3829, -41.2729""",solo,24.2,72,,Moderado,Pesticidas,Eum quod architecto esse dignissimos tempora.,Placeat mollitia molestiae.,"""Arenoso, pouco fértil""",Vero tempora debitis ex aperiam voluptate.,Isaac Camargo,Numquam cumque sit suscipit dolore molestiae.
16,2025-09-28,"""-27.1261, -71.667""",ar,26.9,61,,Alto,Metais pesados,Quo delectus nam quasi officiis natus.,Assumenda quo fuga assumenda.,"""Arenoso, pouco fértil""",Quia fugiat porro a incidunt nobis soluta.,Maria Isis Andrade,Quae esse pariatur debitis.
17,2025-01-31,"""-7.4466, -54.3872""",água,30.0,55,6.9,Baixo,,Similique inventore perspiciatis deserunt odio.,At cupiditate sed voluptatum.,"""Argiloso, boa drenagem""",Quisquam natus illum saepe esse ullam.,Murilo das Neves,Tempora iste aperiam officia.
18,2025-02-03,"""-16.3629, -71.1299""",ar,20.0,53,,Baixo,,Asperiores error nulla.,Similique voluptatum.,"""Orgânico, rico em nutrientes""",Atque sapiente enim sunt quidem voluptatem.,Cauê Montenegro,Quo harum architecto laudantium ut dolorum.
